,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,Implied volatility,Underlaying asset price,Expiration time
74,2/17/17,2/24/17,7.5,VNET,Put,0.2,0.51293,7.39,0.019164956
75,2/17/17,3/3/17,7.5,VNET,Call,0.3,0.43942,7.39,0.038329911
76,2/17/17,3/10/17,7,VNET,Call,0.55,0.97466,7.39,0.057494867
77,2/17/17,3/10/17,7.5,VNET,Call,0.3,1.81234,7.39,0.057494867
78,2/17/17,3/10/17,8,VNET,Call,0.15,0.79734,7.39,0.057494867
79,2/17/17,3/17/17,7,VNET,Call,0.75,0.53614,7.39,0.076659822
80,2/17/17,3/17/17,8,VNET,Call,0.23,0.56312,7.39,0.076659822
81,2/17/17,3/24/17,7.5,VNET,Call,0.35,0.63368,7.39,0.095824778
82,2/17/17,3/10/17,7,VNET,Put,0.25,0.52854,7.39,0.057494867
83,2/17/17,3/10/17,7.5,VNET,Put,0.5,1.53856,7.39,0.057494867
84,2/17/17,3/17/17,7,VNET,Put,0.2,0.5212,7.39,0.076659822
85,2/17/17,3/17/17,8,VNET,Put,0.95,0.49908,7.39,0.076659822
86,2/17/17,3/24/17,7,VNET,Put,0.3,0.54952,7.39,0.095824778
87,2/17/17,6/16/17,7,VNET,Call,1,0.48476,7.39,0.325804244
88,2/17/17,6/16/17,8,VNET,Call,0.55,0.45792,7.39,0.325804244
89,2/17/17,6/16/17,7,VNET,Put,0.7,0.4638,7.39,0.325804244
90,2/17/17,6/16/17,8,VNET,Put,3.36,0.53378,7.39,0.325804244
91,2/17/17,9/15/17,8,VNET,Call,0.9,0.43575,7.39,0.574948665
92,2/17/17,1/19/18,8,VNET,Call,1.15,0.47299,7.39,0.919917864
93,2/17/17,1/19/18,8,VNET,Put,1.85,0.47786,7.39,0.919917864
94,2/17/17,1/18/19,7,VNET,Call,2,0.505,7.39,1.916495551
95,2/17/17,1/18/19,7,VNET,Put,1.8,0.48211,7.39,1.916495551
96,2/17/17,3/17/17,35,TWOU,Call,2.1,0.48386,35.93,0.076659822
97,2/17/17,3/17/17,35,TWOU,Put,1.5,0.59204,35.93,0.076659822
98,2/17/17,4/21/17,35,TWOU,Call,2.7,0.39441,35.93,0.1724846
99,2/17/17,4/21/17,35,TWOU,Put,3.6,0.52848,35.93,0.1724846
100,2/17/17,7/21/17,35,TWOU,Call,4.1,0.30488,35.93,0.421629021
101,2/17/17,7/21/17,35,TWOU,Put,3.4,0.41765,35.93,0.421629021
102,2/17/17,4/21/17,35,JOBS,Call,2.8,0.48566,35.790001,0.1724846
103,2/17/17,7/21/17,35,JOBS,Call,3.3,0.34105,35.790001,0.421629021
104,2/17/17,3/17/17,12.5,CAFD,Call,1.1,0.272,13.4,0.076659822
105,2/17/17,3/17/17,12.5,CAFD,Put,0.15,0.27396,13.4,0.076659822
106,2/17/17,6/16/17,12.5,CAFD,Call,1.15,0.24458,13.4,0.325804244
107,2/17/17,6/16/17,12.5,CAFD,Put,0.6,0.38521,13.4,0.325804244
108,2/17/17,9/15/17,12.5,CAFD,Call,1.6,0.24548,13.4,0.574948665
109,2/17/17,9/15/17,12.5,CAFD,Put,0.95,0.38249,13.4,0.574948665
110,2/17/17,3/17/17,15,EGHT,Call,0.5,0.41931,15,0.076659822
111,2/17/17,3/17/17,15,EGHT,Put,0.75,0.27765,15,0.076659822
112,2/17/17,5/19/17,15,EGHT,Call,0.88,0.46332,15,0.249144422
113,2/17/17,5/19/17,15,EGHT,Put,1.35,0.31626,15,0.249144422
114,2/17/17,8/18/17,15,EGHT,Call,1.65,0.42632,15,0.498288843
115,2/17/17,8/18/17,15,EGHT,Put,1.78,0.33027,15,0.498288843
116,2/17/17,3/17/17,17.5,AVHI,Call,0.4,0.54191,16.700001,0.076659822
117,2/17/17,3/17/17,17.5,AVHI,Put,1.65,0.3661,16.700001,0.076659822
118,2/17/17,6/16/17,17.5,AVHI,Call,1.4,0.29612,16.700001,0.325804244
119,2/17/17,6/16/17,17.5,AVHI,Put,1.75,0.32965,16.700001,0.325804244
120,2/17/17,9/15/17,17.5,AVHI,Call,1.75,0.26236,16.700001,0.574948665
121,2/17/17,9/15/17,17.5,AVHI,Put,1.7,0.29899,16.700001,0.574948665
122,2/17/17,3/17/17,35,SHLM,Call,0.6,0.875,33.75,0.076659822
123,2/17/17,4/21/17,35,SHLM,Call,1.5,0.5912,33.75,0.1724846
124,2/17/17,7/21/17,35,SHLM,Call,4.28,0.49661,33.75,0.421629021
125,2/17/17,3/17/17,35,AAON,Call,1.19,0.30831,34.349998,0.076659822
126,2/17/17,4/21/17,35,AAON,Call,1.1,0.28104,34.349998,0.1724846
127,2/17/17,3/17/17,50,ABAX,Call,1.3,0.28472,49.66,0.076659822
128,2/17/17,3/17/17,45,ABAX,Put,2.15,0.97543,49.66,0.076659822
129,2/17/17,3/17/17,50,ABAX,Put,2.2,0.27923,49.66,0.076659822
130,2/17/17,5/19/17,45,ABAX,Put,2,0.52206,49.66,0.249144422
131,2/17/17,5/19/17,50,ABAX,Put,3.8,0.28489,49.66,0.249144422
132,2/17/17,8/18/17,45,ABAX,Put,3.4,0.49554,49.66,0.498288843
133,2/17/17,3/17/17,105,ABMD,Call,10.8,0.1325,116.57,0.076659822
134,2/17/17,3/17/17,110,ABMD,Call,8.2,0.177,116.57,0.076659822
135,2/17/17,3/17/17,115,ABMD,Call,4,0.21863,116.57,0.076659822
136,2/17/17,3/17/17,120,ABMD,Call,1.75,0.25075,116.57,0.076659822
137,2/17/17,3/17/17,125,ABMD,Call,1.05,0.25022,116.57,0.076659822
138,2/17/17,3/17/17,105,ABMD,Put,1.07,0.36407,116.57,0.076659822
139,2/17/17,3/17/17,110,ABMD,Put,1.9,0.31487,116.57,0.076659822
140,2/17/17,3/17/17,115,ABMD,Put,9.7,0.41265,116.57,0.076659822
141,2/17/17,3/17/17,120,ABMD,Put,6.7,0.30744,116.57,0.076659822
142,2/17/17,3/17/17,125,ABMD,Put,15.55,0.40318,116.57,0.076659822
143,2/17/17,6/16/17,110,ABMD,Call,12.2,0.2866,116.57,0.325804244
144,2/17/17,6/16/17,115,ABMD,Call,8.3,0.26934,116.57,0.325804244
145,2/17/17,6/16/17,120,ABMD,Call,7.2,0.24844,116.57,0.325804244
146,2/17/17,6/16/17,125,ABMD,Call,5.65,0.27439,116.57,0.325804244
147,2/17/17,6/16/17,105,ABMD,Put,6.83,0.42929,116.57,0.325804244
148,2/17/17,6/16/17,110,ABMD,Put,6.46,0.43115,116.57,0.325804244
149,2/17/17,6/16/17,115,ABMD,Put,12.13,0.35643,116.57,0.325804244
150,2/17/17,6/16/17,120,ABMD,Put,19.7,0.3771,116.57,0.325804244
151,2/17/17,6/16/17,125,ABMD,Put,17.26,0.41353,116.57,0.325804244
152,2/17/17,9/15/17,105,ABMD,Call,14.8,0.27943,116.57,0.574948665
153,2/17/17,9/15/17,110,ABMD,Call,11.9,0.30283,116.57,0.574948665
154,2/17/17,9/15/17,115,ABMD,Call,9.9,0.30787,116.57,0.574948665
155,2/17/17,9/15/17,120,ABMD,Call,9,0.26205,116.57,0.574948665
156,2/17/17,9/15/17,125,ABMD,Call,8.9,0.32661,116.57,0.574948665
157,2/17/17,9/15/17,110,ABMD,Put,12.07,0.42486,116.57,0.574948665
158,2/17/17,9/15/17,125,ABMD,Put,24.8,0.44606,116.57,0.574948665
159,2/17/17,3/17/17,2.5,AXAS,Call,0.1,0.5625,2.31,0.076659822
160,2/17/17,3/17/17,2.5,AXAS,Put,0.23,0.75631,2.31,0.076659822
161,2/17/17,3/17/17,10,FLWS,Call,0.45,0.31687,10,0.076659822
162,2/17/17,3/17/17,10,FLWS,Put,0.4,0.33803,10,0.076659822
163,2/17/17,6/16/17,10,FLWS,Call,0.8,0.34132,10,0.325804244
164,2/17/17,9/15/17,10,FLWS,Call,1.05,0.34122,10,0.574948665
165,2/17/17,3/17/17,10,FLWS,Call,0.45,0.31687,10,0.076659822
166,2/17/17,3/17/17,10,FLWS,Put,0.4,0.33803,10,0.076659822
167,2/17/17,6/16/17,10,FLWS,Call,0.8,0.34132,10,0.325804244
168,2/17/17,9/15/17,10,FLWS,Call,1.05,0.34122,10,0.574948665
169,2/17/17,2/24/17,7,VNET,Call,0.4,0.56275,7.39,0.019164956
170,2/17/17,2/24/17,7.5,VNET,Call,0.15,0.56186,7.39,0.019164956
171,2/17/17,2/24/17,8,VNET,Call,0.1,1.13121,7.39,0.019164956
172,2/17/17,2/24/17,7,VNET,Put,0.25,0.90018,7.39,0.019164956
173,2/17/17,2/24/17,7.5,VNET,Put,0.2,0.51293,7.39,0.019164956
174,2/17/17,3/3/17,7.5,VNET,Call,0.3,0.43942,7.39,0.038329911
175,2/17/17,3/10/17,7,VNET,Call,0.55,0.97466,7.39,0.057494867
176,2/17/17,3/10/17,7.5,VNET,Call,0.3,1.81234,7.39,0.057494867
177,2/17/17,3/10/17,8,VNET,Call,0.15,0.79734,7.39,0.057494867
178,2/17/17,3/17/17,7,VNET,Call,0.75,0.53614,7.39,0.076659822
179,2/17/17,3/17/17,8,VNET,Call,0.23,0.56312,7.39,0.076659822
180,2/17/17,3/24/17,7.5,VNET,Call,0.35,0.63368,7.39,0.095824778
181,2/17/17,3/10/17,7,VNET,Put,0.25,0.52854,7.39,0.057494867
182,2/17/17,3/10/17,7.5,VNET,Put,0.5,1.53856,7.39,0.057494867
183,2/17/17,3/17/17,7,VNET,Put,0.2,0.5212,7.39,0.076659822
184,2/17/17,3/17/17,8,VNET,Put,0.95,0.49908,7.39,0.076659822
185,2/17/17,3/24/17,7,VNET,Put,0.3,0.54952,7.39,0.095824778
186,2/17/17,6/16/17,7,VNET,Call,1,0.48476,7.39,0.325804244
187,2/17/17,6/16/17,8,VNET,Call,0.55,0.45792,7.39,0.325804244
188,2/17/17,6/16/17,7,VNET,Put,0.7,0.4638,7.39,0.325804244
189,2/17/17,6/16/17,8,VNET,Put,3.36,0.53378,7.39,0.325804244
190,2/17/17,9/15/17,8,VNET,Call,0.9,0.43575,7.39,0.574948665
191,2/17/17,1/19/18,8,VNET,Call,1.15,0.47299,7.39,0.919917864
192,2/17/17,1/19/18,8,VNET,Put,1.85,0.47786,7.39,0.919917864
193,2/17/17,1/18/19,7,VNET,Call,2,0.505,7.39,1.916495551
194,2/17/17,1/18/19,7,VNET,Put,1.8,0.48211,7.39,1.916495551
195,2/17/17,3/17/17,35,TWOU,Call,2.1,0.48386,35.93,0.076659822
196,2/17/17,3/17/17,35,TWOU,Put,1.5,0.59204,35.93,0.076659822
197,2/17/17,4/21/17,35,TWOU,Call,2.7,0.39441,35.93,0.1724846
198,2/17/17,4/21/17,35,TWOU,Put,3.6,0.52848,35.93,0.1724846
199,2/17/17,7/21/17,35,TWOU,Call,4.1,0.30488,35.93,0.421629021
200,2/17/17,7/21/17,35,TWOU,Put,3.4,0.41765,35.93,0.421629021
