,GPA,Loan rate,Enrollment,Endowment,Graduation rate,SAT,Accept ratio,Tuition
221,3.6,0.87145452,19198,68700.0,0.46,1081,0.74,9694
89,3.4,0.832986905,24904,896802.5,0.41,1039,0.72,11391
8,4.0,0.781656805,8353,9920767.0,0.84,1460,0.11,52678
13,4.0,0.6603773589999999,5941,7275457.0,0.89,1506,0.08,54825
59,3.6,0.897549094,19262,1487780.0,0.41,1145,0.93,10824
198,3.6,0.9694206009999999,5377,209043.0,0.72,1210,0.78,43880
131,3.6,0.82113393,42477,627889.0,0.49,1143,0.83,10792
17,3.86,0.8047253059999999,14566,5897634.0,0.87,1428,0.14,52853
166,3.7,0.92972973,2456,398823.0,0.82,1314,0.68,35190
72,3.64,0.911802192,14348,1156261.0,0.58,1239,0.4,43790
218,3.3,0.9462563159999999,6371,78549.0,0.55,1037,0.77,36733
134,3.6,0.860277886,20411,610128.5,0.58,1173,0.59,9770
225,3.2,0.9650655020000001,2110,61331.0,0.63,1042,0.66,36535
212,3.4,0.818360656,3575,103400.0,0.23,1074,0.73,35870
63,3.7,0.8826291079999999,6521,1444638.5,0.68,1330,0.49,52498
54,4.0,0.749235474,5508,1577993.5,0.87,1424,0.14,54318
107,3.6,0.946791862,2277,756640.5,0.79,1345,0.44,50440
50,3.9,0.912258065,2514,1704616.0,0.86,1410,0.37,50044
204,3.5,0.96969697,3462,164350.5,0.73,1230,0.69,42109
174,3.4,0.976190476,7099,377919.5,0.69,1095,0.76,46780
192,3.3,0.663585003,7239,297936.5,0.15,1058,0.73,8144
189,3.6,0.7670557290000001,18191,304642.5,0.23,1084,0.83,7599
228,3.6,0.925233645,3098,57358.5,0.47,1035,0.78,30932
203,3.5,0.969278997,3867,167536.5,0.72,1134,0.75,43310
169,3.7,0.92238806,1031,394826.0,0.65,1315,0.58,45750
58,3.89,0.8564213559999999,7453,1506185.5,0.9,1416,0.17,52300
48,3.71,0.935986159,5152,1719369.0,0.64,1398,0.35,47500
88,3.7,0.860137852,22548,923793.5,0.42,1154,0.63,9062
21,3.8,0.563872256,6871,3977864.5,0.87,1498,0.11,47664
57,3.5,0.862807525,20833,1506580.5,0.36,1145,0.75,8690
160,3.5,0.818088033,9788,433777.5,0.27,1122,0.95,5217
224,3.5,0.9691252140000001,2159,62356.0,0.58,1150,0.72,32424
187,3.5,0.9564516129999999,4032,313656.5,0.78,1270,0.61,47165
191,4.0,0.912280702,1039,300516.0,0.8,1362,0.3,52966
129,4.0,0.9098075590000001,18599,634952.5,0.59,1275,0.51,14712
37,3.93,0.48387096799999996,979,2152805.5,0.81,1544,0.08,49908
157,3.4,0.8546269120000001,18090,446795.5,0.32,1140,0.71,8138
217,3.5,0.9368932040000001,1174,82285.5,0.5,1150,0.71,37960
1,3.75,0.80692959,40168,29041575.0,0.55,1297,0.4,10136
52,3.6,0.9186428740000001,24212,1599010.5,0.36,1097,0.75,13570
149,3.5,0.8763555940000001,23788,494383.0,0.46,1108,0.75,11896
130,3.8,0.935042735,2225,629177.5,0.78,1208,0.78,47838
151,4.0,0.655172414,1268,483394.0,0.86,1433,0.21,52754
103,3.6,0.916984925,30671,773333.0,0.44,1142,0.87,8420
99,3.6,0.946202532,2895,801326.5,0.72,1357,0.28,53460
116,4.0,0.9192917909999999,13473,711212.5,0.82,1435,0.29,49497
87,3.8,0.719054242,2424,955893.0,0.87,1405,0.27,55210
202,3.2,0.660674157,1121,177013.0,0.2,883,0.66,16558
74,3.5,0.8610229979999999,29963,1152364.5,0.34,1134,0.63,10771
214,3.4,0.964731815,3136,91240.0,0.6,1037,0.83,31950
210,3.3,0.96895075,1815,106906.0,0.43,1057,0.63,32264
121,3.9,0.72299169,1796,672213.0,0.9,1355,0.2,49949
231,3.3,0.976766699,2124,55478.5,0.64,1180,0.68,38986
20,3.89,0.8057553959999999,4310,4568947.5,0.88,1437,0.11,52950
188,3.4,0.922339406,6745,307343.5,0.62,1172,0.71,46250
71,3.7,0.9435806309999999,15218,1161468.5,0.69,1195,0.52,46755
106,4.0,0.875338753,2105,760796.0,0.88,1400,0.23,52782
14,3.91,0.88019802,6609,7068162.5,0.86,1450,0.11,53744
92,3.5,0.8041967959999999,21093,862276.5,0.39,1118,0.75,8738
179,3.68,0.925233645,2680,335776.0,0.85,1239,0.29,52446
102,3.5,0.809320527,15827,779988.5,0.28,1159,0.73,11264
